"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1390","Переход по клику на «Конструктор»","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
"","3513","Увеличение счетчика выполненных заказов","tests","2026-01-02","passed","2026-01-02","TestOrderFeed","test_order_feed","",""
"","1862","Появление номера заказа в разделе «В работе»","tests","2026-01-02","failed","2026-01-02","TestOrderFeed","test_order_feed","",""
"","3176","Увеличение счетчика выполненных заказов","tests","2026-01-02","passed","2026-01-02","TestOrderFeed","test_order_feed","",""
"","2436","Переход по клику на раздел «Лента заказов»","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
"","1339","Увеличение счетчика ингредиента","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
"","1039","Переход по клику на «Конструктор»","tests","2026-01-02","broken","2026-01-02","TestMainPage","test_main","",""
"","919","Закрытие модального окна ингредиента","tests","2026-01-02","broken","2026-01-02","TestMainPage","test_main","",""
"","1411","Нажатие на ингредиент","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
"","3461","Увеличение счетчика выполненных за сегодня заказов","tests","2026-01-02","passed","2026-01-02","TestOrderFeed","test_order_feed","",""
"","2484","Переход по клику на раздел «Лента заказов»","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
"","1545","Нажатие на ингредиент","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
"","3479","Увеличение счетчика выполненных за сегодня заказов","tests","2026-01-02","passed","2026-01-02","TestOrderFeed","test_order_feed","",""
"","2051","Закрытие модального окна ингредиента","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
"","2319","Появление номера заказа в разделе «В работе»","tests","2026-01-02","failed","2026-01-02","TestOrderFeed","test_order_feed","",""
"","1473","Увеличение счетчика ингредиента","tests","2026-01-02","passed","2026-01-02","TestMainPage","test_main","",""
